lfn_sentence,eng_sentence
Kosovo va partisipa la juas olimpial 2016.,Kosovo will participate in the Olympic Games 2016.
Tom ia gania la concurso a la anio pasada.,Tom won the contest last year.
"A un ves pasada, un prinsesa bela ia vive.","Once upon a time, there lived a beautiful princess."
Nos frecuente jua tenis la un con la otra.,We often play tennis together.
Me ave tota fida en gania la max de tenis.,I am sure of winning the tennis match.
Contra ce el ia es obesa el ia es atraosa.,"In spite of being fat, she was pretty."
Enfantes trova sempre un razona per amini.,Children always find a reason to become friends.
Espera es no cosa plu ca delude posponeda.,Hope is merely disappointment deferred.
Sua salario es basa donce el debe bricola.,His salary is low so he has to do odd jobs.
Tom ia brosi sua dentes e ia lava sua fas.,Tom brushed his teeth and washed his face.
El ia seci sua fas e ia brosi sua capeles.,She dried her face and brushed her hair.
Me nesesa jornales vea per covre la mures.,I need old newspapers to cover the walls.
Asidentes aveni a cada dia en esta sporte.,Accidents happen every day in this sport.
Maria usa filtro de paper per tamisi cafe.,Mary uses a paper filter to strain coffee.
Aprende un lingua stranjer es interesante.,Learning a foreign language is interesting.
Esta es la auto sur cual me ia parla a tu.,That's the car I told you about.
Ave asi la auto sur cual me ia parla a tu.,That's the car I told you about.
Tota nomes es listada en ordina alfabetal.,All the names are listed in alphabetical order.
Me demanda a me esce tu ia comprende vera.,I wonder whether you really understood.
Tom es en la media de nada en la stangeta.,Tom is swimming in the pool.
Nos debe aprende perfeta la poesia intera.,We have to learn the whole poem by heart.
Multe cultivores ia perde sua cultiverias.,Many farmers lost their farms.
Esce tu ia entera alga cosa en acel isola?,Did you bury something on that island?
La bon faxiste unica es la faxiste morida.,The only good fascist is a dead fascist.
Esce me pote reseta tua numero de telefon?,Can I get your phone number?
Perce vos ia pensa ce Tom gusta roc metal?,Why did you think Tom liked heavy metal?
Tota la plumas de la avia ia es de oro pur.,The bird's feathers were all of pure gold.
Grasias per la catura de un papilio per me.,Thank you for catching me a butterfly.
"Scarabes, papilios, e cucaraxas es insetos.","Beetles, butterflies and cockroaches are insects."
Tom sempre come frutas a la come de matina.,Tom always eats fruit for breakfast.
"Un paso plu, e me ia ta cade de la presipe.","One more step, and I would have fallen off the cliff."
Alga de mundo pensa ce Tom es scizofrenica.,Some people think Tom is schizophrenic.
Multe paises ia partisipa la juas olimpial.,A lot of countries participated in the Olympic Games.
Me vole montra alga cosa a te en la ofisia.,I want to show you something in the office.
Me va ave un instrui sur tenis a plu tarda.,I have tennis practice later.
Contra alga ostaculos variosa el ia susede.,He succeeded despite several obstacles.
Esce tu sabe ci ia inventa la rota jigante?,Do you know who invented the Ferris wheel?
Tom reserva la plu de sua datos en la nube.,Tom stores most of his data in the cloud.
Numaticos es fabricada de cauxo artifisial.,Tires are made from synthetic rubber.
Tom ia dona la clave de sua aparte a Maria.,Tom gave Mary a key to his apartment.
La lingua ungarian es plu bon ca esperanto.,The Hungarian language is better than Esperanto.
Felix ia lasa un bal de pelo en mea sapato.,Felix left a hairball in my shoe.
"Deutxland es nomida ""Deutschland"" en deutx.","Germany is called ""Deutschland"" in German."
Tom ia lansa un lete bateda a Nigel Farage.,Tom threw a milkshake at Nigel Farage.
Axgabat es un site capital de Turcmenistan.,Ashgabat is the capital of Turkmenistan.
"An si acel ta es vera, perce lo ta importa?","Even if that were true, why would it matter?"
Cual es la longia de la Ponte Arco de Sielo?,How long is the Rainbow Bridge?
El ave amores per tota la dias de la semana.,She has lovers for every day of the week.
Silentia fa ce alga de mundo deveni nervosa.,Silence makes some people nervous.
"En Nion, saluta inclinada es cortesia comun.","In Japan, bowing is common courtesy."
"An tal, me ia fa la plu bon cual me ia pote.","Anyway, I did my best."
A cuanto veses Nion ia ospita la Olimpiales?,How many times has Japan hosted the Olympics?
El prepara se per la Olimpiales a esta anio.,She is preparing to the Olympic Games this year.
Los ia jua tenis de table la un con la otra.,They played table tennis together.
Nos ia vide nunca un reposa de sol tan bela.,Never did we see such a beautiful sunset.
Esta ia es construida en la pasada distante.,This was built long ago.
Esce tu ia leje a cualce ves la Atesta Nova?,Have you ever read the New Testament?
Esta xampu veni con un bon brosa de capeles.,This shampoo comes with a nice hair brush.
Tom ia es surprendeda par la reata de Maria.,Tom was surprised by Mary's reaction.
No person es capas core tan rapida como Tom.,No one is able to run as fast as Tom.
El ia demanda a me esce me gusta matematica.,He asked me whether I like math.
De cuando tu pote senti la moves de la feto?,Since when have you been able to feel the movement of the fetus?
Gatos ia es animales santa en Egipte antica.,Cats were sacred animals in ancient Egypt.
Persones sin umor es como prados sin flores.,People with no humour are like meadows without flowers.
Me comprende cimrica ma me no pote parla lo.,"I understand Welsh, but I can't speak it."
George Orwell ia es un antifaxiste violente.,George Orwell was a violent antifascist.
La xico gusta pasea sirca la boteca de sofas.,The boy likes walking around the sofa store.
Lundi no es serta mea dia de semana favoreda.,Monday definitely isn't my favourite day of the week.
Esperanto es un lingua vera fasil e regulada.,Esperanto is a truly regular and easy language.
Dona donadas es sempre plu bon ca reseta los.,Giving gifts is always nicer than receiving them.
Un demanda autorespondente no esije responde.,A rhetorical question does not require an answer.
"En Japan, saluta inclinada es cortesia comun.","In Japan, bowing is common courtesy."
"La bandera de Italia es verde, blanca e roja.","The Italian flag is green, white and red."
On va aumenta la salario comensante de april.,The salary will be raised from April.
Un menti diseda par un saja permane un menti.,"A lie, told by a sensible man, remains a lie."
Me nesesa un duple nova de sapatos de sporte.,I need a new pair of sneakers.
Tom ia covre par sua jaca la spalas de Maria.,Tom draped his coat over Mary's shoulders.
"""La Atesta Nova"" es la parte du de la Biblia.","""The New Testament"" is the second part of the Bible."
"Si la diablo es noncapas, el envia sua sposa.","If the devil is powerless, he sends his wife."
"Vade, ta ce nos no destrae Tom de sua labora.","Come on, let's not distract Tom from his work."
Lo es tan simple ce an un enfante pote fa lo.,It's so simple that even a child can do it.
Tom ia maturi en un visineria de clase media.,Tom grew up in a middle class neighborhood.
Turces es un lingua multe regulada e lojical.,Turkish is a very regular and logical language.
"Israel es un ""democratia"" libraliste raziste.","Israel is a racist liberal ""democracy""."
Tu va trova asi otra parlores ci pote aida tu.,You will find other speakers here who may help you.
La pomas cual el ia envia a me ia es deletosa.,The apples which he sent to me were delicious.
"""Cual dia de la semana es oji?"" ""Es mercurdi.""","""What day of the week is it?"" ""It's Wednesday."""
La teatro ia abri a tota la dias de la semana.,The theater used to open up every day of the week.
El ia perde la numeros de telefon de sua amis.,He lost his friends' phone numbers.
La eruga ia cambia se a un papilio multe bela.,The caterpillar transformed into a beautiful butterfly.
La enfantes es fasil influeda par la anunsias.,Children are easily influenced by advertising.
"Nonfortunosa, alga de mundo senti se ofendeda.","Unfortunately, some people were offended."
Tom ia dona a Maria la rola de sinta aderente.,Tom handed Mary the roll of masking tape.
El ia es campion olimpial de atletisme pesosa.,He was an Olympic champion in weightlifting.
"Enfantes, ta ce nos prea! Un miracle ia aveni!","Children, let us go pray! A miracle has happened!"
"Con sua aida, mea franses ia boni pico e pico.","With her help, my French improved little by little."
Nos jua tenis la un con la otra a multe veses.,We often play tennis together.
"En tenis, el es un oposor en bon nivel per me.",He is a good match for me in tennis.
Aleluia es un espresa de adora o grasia a Dio.,Hallelujah is an expression of praise or thanks to God.
"On debe no usa la parola ""ge"" como un insulta.","You shouldn't use the word ""gay"" as an insult."
"Tu debe no usa la parola ""ge"" como un insulta.","You shouldn't use the word ""gay"" as an insult."
Esce on ave multe brasileras abitante en Nion?,Are there many Brazilians living in Japan?
La gatos ia es animales santa en Misre antica.,Cats were sacred animals in ancient Egypt.
Tom ia prende la abitua de core a cada matina.,Tom took the habit of running every morning.
"En la comensa, Dio ia crea la sielo e la tera.",In the beginning God created the heavens and the earth.
"Cuando me senti mal, me fa clamas de animales.","When I feel bad, I utter animal noises."
"Vera, me ia ave no idea ce el es un trejemelo.",I actually had no idea she was a triplet.
La xico gusta pasea sirca la boteca de sapones.,The boy likes walking around the soap shop.
Lingua franca nova es libre per la usa de tota.,Lingua Franca Nova is free for all to use.
Me sabe como la omes es. Los vole sola un cosa.,I know what men are like. They only want one thing.
Lo es nesesada ce la bebe prende lete bastante.,"It is necessary, that the baby receive enough milk."
La portasene ia es plen de restas de sigaretas.,The ashtray was brimming with cigarette butts.
Lo ia es fasil divina la parola secreta de Tom.,Tom's password was easy to guess.
Me es serta ce multe persones ta acorda con te.,I'm sure a lot of people would agree with you.
Sania e intelijentia es la du bondises de vive.,Health and intellect are the two blessings of life.
Tom no ia pote permete a se vade a la conserta.,Tom could not afford to go to the concert.
Maria ia plora cuando el ia reseta sua medalia.,Mary cried when she received her medal.
Me es fidante ce me va gania acel max de tenis.,I'm confident that I'll win the tennis match.
"Vos debe no usa la parola ""ge"" como un insulta.","You shouldn't use the word ""gay"" as an insult."
Venus es ance conoseda como stela de la matina.,Venus is also known as the Morning Star.
"""La Atesta Vea"" es la parte prima de la Biblia.","""The Old Testament"" is the first part of the Bible."
Esce tu ia proba a cualce ves comeda brasilera?,Have you ever tried Brazilian food?
Esce on ave multe brasileras abitante en Japan?,Are there many Brazilians living in Japan?
Esta casa ia es construida con lenio brasilera.,This house is built from Brazilian lumber.
El ia brode sua inisiales sur un teleta blanca.,She embroidered her initials on a white handkerchief.
El ia pica se par un ago en cuando el ia brode.,She pricked herself with a needle while embroidering.
Regretable la broma de parolas es nontraduable.,The pun is unfortunately untranslatable.
Me demanda a me esce me debe scrive o telefoni.,I wonder whether to write or phone.
La xico gusta pasea sirca la boteca de xapones.,The boy likes to walk around the sombrero shop.
Lo ia aveni a la note de vijila de tota santas.,It happened on Halloween night.
Tom es en la media de leje un libro de istoria.,Tom is reading a history book.
"Tom ia evade la castel, desemblada como un fem.","Tom escaped from the castle, disguised as a woman."
La maior ia talia la sinta con un sisor enorme.,The mayor cut the ribbon with a pair of giant scissors.
La Re David es mea favoreda poesiste iudi cuer.,King David is my favorite queer Jewish poet.
Esce tu ia fa un intervisa pratical per la rol?,Did you audition for the part?
"""Si, me es brasilera. No, me no gusta carnaval"".","Yes, I am Brazilian. No, I don't like carnival."
Tom porta un masca per la vijila de tota santas.,Tom is wearing a Halloween mask.
On debe fa la plu bon cual on pote en cada cosa.,One must do one's best in everything.
"Pardona me, me ia fa la plu bon cual me ia pote.","I'm sorry, I did my best."
A cuanto veses Japan ia ospita la juas olimpial?,How many times has Japan hosted the Olympics?
Sirca 10.000 atletas vive en la vileta olimpial.,"Nearly 10,000 athletes live in the Olympic village."
Cisa Tom no va recovre nunca la usa de se gamas.,Tom may never recover the use of his legs.
Me xico de cor ia encontra un ami ge a la plaia.,My boyfriend met a gay friend at the beach.
Contra la difisilia lingual nos ia amini pronto.,"In spite of the language difficulty, we soon became friends."
Melodia no es mera alga cosa cual on pote zumbi.,A melody is not merely something you can hum.
Esce vos ia proba a cualce ves comeda brasilera?,Have you ever tried Brazilian food?
"Me crede ce la sermonor no ia pote parla ""amen"".","I believe that the preacher could not speak ""Amen."""
La maior ia talia la sinta con un sisor jigante.,The mayor cut the ribbon with a pair of giant scissors.
Me no pensa ce me es preparada per esta esamina.,I don't think I'm prepared for the exam.
La xico gusta pasea sirca la boteca de sombreros.,The boy likes to walk around the sombrero shop.
Taro ia compra un auto usada en la semana pasada.,Taro bought a used car last week.
Besa un person ci fuma es como leca un portasene.,Kissing a person who smokes is like licking an ashtray.
Tom ia colie un cuantia multe grande de papilios.,Tom has collected a great many butterflies.
El ia vade a estra la pais afin el studia engles.,He went abroad to study English.
"En la mundo, cada cosa es liada a cada otra cosa.",Everything in the world is connected to everything else.
Me aprende alga linguas variosa a la mesma tempo.,I'm learning several languages at the same time.
La libro la plu bon sur la vive es la vive mesma.,The best book about life is life itself.
En SUA la fem ave per promedia sola tre enfantes.,"In the United States of America, a woman on average only has three children."
Tom no ia vole dise a me do el ia parci sua auto.,Tom wouldn't tell me where he parked his car.
Me ia regarda un max de tenis sur la televisador.,I watched a tennis match on TV.
La clima de Japan es plu blanda ca lo de England.,The climate of Japan is milder than that of England.
On debe usa un elmo cuando on monta un motosicle.,You should wear a helmet when you ride a motorcycle.
A fini cada cosa deveni plu fasil par la pratica.,Everything eventually gets easier with practice.
La polisia ia aresta el par causa de contrabanda.,The police arrested him for smuggling.
"Tom ia regarda vinsente me e ia dise: ""xacemata"".","Tom looked at me triumphantly and said, ""Checkmate."""
Acel es mea frase des mil en esperanto a Tatoeba.,That is my ten-thousandth sentence in Esperanto at Tatoeba.
La arania ia texe sua rede delicata en la jardin.,The spider spun her delicate web in the garden.
Me ne pensa ce lo es vera ce Tom odia stranjeres.,I don't think it's true that Tom hates foreigners.
Un cirotera volante en la sielo sembla un papilio.,A bat flying in the sky looks like a butterfly.
Sua libros ia es traduida en alga linguas variosa.,His books have been translated into several languages.
"La polisiores ia porta mascas contra gas, e elmos.",The policemen wore gas masks and helmets.
On debe dona la plu bon de se afin ce on es felis.,One should do one's best to be happy.
La Olimpiales aveni a un ves en cada cuatro anios.,The Olympic Games are held every four years.
Esta macina pote primi sesdes pajes a cada minuto.,This machine can print sixty pages a minute.
La clima de Nion es plu blanda ca acel de England.,The climate of Japan is milder than that of England.
Tom ia pasa anios vivente en la stradas de Boston.,Tom spent years living on the streets of Boston.
Un lingua es un dialeto con un armada e un marina.,A language is a dialect with an army and navy.
Ance pasajores debe apona sua sintures de securia.,"Passengers have to put their seatbelts on, too."
Nos labora a tota la dias de la semana estra soldi.,We work on every day of the week except Sunday.
El pasea tra plu ca un ora a cada dia de la semana.,She walks for more than an hour every day of the week.
Japan ia envia atletas a la Olimpiales de pos 1912.,Japan has been sending athletes to the Olympics since 1912.
La max de tenis ia es posponeda par causa de pluve.,The tennis match was postponed due to rain.
Me ave tota fida en ce el va gania la max de tenis.,I am sure of his winning the tennis match.
Tom ia aseta la defia de Maria per un max de tenis.,Tom accepted Mary's challenge to a tennis match.
Maria ia proba algas a la ves prima e ia gusta los.,Mary tasted seaweed for the first time and liked it.
La aberias es a la otra lado de la bosce de frutas.,The beehives are on the other side of the orchard.
La rio Ganga es considerada santa par la induistes.,The river Ganges is considered sacred to Hindus.
Me va dise a tu un secreta cual va cambia tua vive.,I'll tell you a secret that will change your life.
Per multes la sonia american ia deveni un malsonia.,"For many, the American dream has become a nightmare."
Asi me deside sin esita ce me va prende la otra via.,"Here I decide, without hesitating, to take the alternative route."
Me suposa che acel ia es un demanda autorespondente.,I assume that was a rhetorical question.
On dise ce el ia es musiciste cuando el ia es joven.,They say he was a musician when he was young.
Du omes portante mascas de sci ia entra en la banco.,Two men wearing ski masks entered the bank.
Tom no ia ave mone sufisinte per vade a la conserta.,Tom didn't have enough money to go to the concert.
Me ia fa la plu bon cual me ia pote per proteje Tom.,I did my best to protect Tom.
Animales de casa dona a nos plu ca acompania simple.,Pets offer us more than mere companionship.
Tom ia jua bascetbal a cuando el ia es en universia.,Tom played basketball when he was in college.
Nos ia dise a Tom ce el no resta a estra asta tarda.,We told Tom not to stay out late.
Me gusta vive en la campania plu ca vive en la site.,I prefer living in the country to living in the city.
La governa israeli e sua ocupa militar es asustante.,The Israeli government and its military occupation are terrible.
La ofisior ia comanda la soldatos a ataca la fortres.,The officer ordered the soldiers to attack the fortified position.
"Per promedia, cual es la tempo de vive de un papilio?",What's the average lifespan of a butterfly?
La juas olimpial aveni a un ves en cada cuatro anios.,The Olympic Games are held every four years.
Nion ia envia atletas a la juas olimpial de pos 1912.,Japan has been sending athletes to the Olympics since 1912.
Esce lo debe jira con la orolojo o contra la orolojo?,Do you have to turn it clockwise or counter-clockwise?
Me ia fa la plu bon cual me ia pote per preveni esta.,I did my best to prevent this.
Me ia fa la plu bon cual me ia pote per amini con el.,I did my best to make friends with him.
Acel no ia es un comanda – no cosa plu ca un sujesta.,That wasn't an order - merely a suggestion.
Tom ia aprende patini cuando el ia ave des-tre anios.,Tom learned to skate when he was thirteen.
Tatoeba es la scola de esperanto la plu bon de mundo.,Tatoeba is the best Esperanto school in the world.
Nos ia es en la coredor de la nivel du de la ospital.,We were in the hallway of the second floor of the hospital.
La poesistes ia es misteriosa silente a tema de ceso.,Poets have been mysteriously silent on the subject of cheese.
La literatur es un punto forte en la cultur brasilera.,Literature is a strong point in Brazilian culture.
"Tom nunca ia vide cualce lupos, ma el ia pote oia los.","Tom never saw any wolves, but he could hear them."
La plu de la consonantes es pronunsiada como en engles.,Most of the consonants are pronounced like those in English.
El ia publici resente un serie interesante de articles.,He has just published an interesting series of articles.
Oji es aniversario de la rituo de sposi de Tom e Maria.,Today is Tom and Mary's wedding anniversary.
"Ci sabe alga linguas variosa, el oteni plu de la mundo.",He who knows several languages gets more from the world.
Esce tu a cualce ves ia atenta tufa con autorespirador?,Have you ever tried scuba diving?
"La site Resife es conoseda como la ""Venezia brasilera"".","The city of Recife is known as the ""Brazilian Venice""."
La influe de la arabi en la espaniol es multe evidente.,The influence of the Arabic language is quite evident in the Spanish language.
"Lo es plu bon ce nos mori stante, ca nos vive ajenante.","Better to die on our feet, than to live on our knees."
La sola lingua vera cual esiste en la mundo es la besa.,The only true language in the world is a kiss.
Anarcistes crede ce sosia pote funsiona par aida mutua.,Anarchists believe society can function by mutual aid.
Nos ia vola a supra la cultiveria de los en un elicotor.,We flew over their farm in a helicopter.
La selebra de clui de la juas olimpial ia es merveliosa.,The closing ceremony of the Olympics was wonderful.
La manxa roja e grande de Jupiter es un tempesta enorme.,Jupiter's Great Red Spot is a giant storm.
La rebelores sosialistes ia prende la palasio apostolal.,The socialist insurgency expropriated the Apostolic Palace.
La traduores de la Atesta Nova ia es considerada ereses.,The translators of the New Testament were considered heretics.
Tom ia sofla supra la brasas esperante reinisia la foco.,"Tom blew on the embers, hoping to get the fire restarted."
La rueta tra la foresta ia es completa covreda par neva.,The path through the forest was completely covered in snow.
"A 13 maio 1888, sclavia ia es abolida ofisial en Brasil.","On May 13, 1888 slavery was officially abolished in Brazil."
La persones usa mascas afin preveni ce los deveni malada.,People wear masks to prevent getting a disease.
Ole Einar Bjoerndalen ia gania des-tre medalias olimpial.,Ole Einar Bjoerndalen has won 13 Olympic medals.
La manxa grande e roja de Jupiter es un tempesta jigante.,Jupiter's Great Red Spot is a giant storm.
"Fa alga pasos, e dise a me, esce lo dole cuando tu pasea.",Take a few steps and tell me if it hurts when you walk.
"Bondisedas es los ci ave un cor pur, car los va vide dio.","Blessed are the pure in heart, for they shall see God."
Nos ia es ipnoseda par la brilieta pulsante de la brasas.,We were mesmerized by the pulsating glow of the embers.
Acel stranjer parla nion como si lo es sua lingua propre.,That foreigner speaks Japanese as if it were his mother tongue.
Engles es un lingua germanica con influe forte de latina.,English is a heavily Latinized Germanic language.
Miliones de persones comprende interlingua a vista prima.,Millions of people understand interlingua at first sight.
"La instrui debe es sin custa, a la min en la scola prima.","Education shall be free, at least in the elementary and fundamental stages."
"E Dio ia dise: ""Ta ce la lus esiste!"" E la lus ia esiste.",And God said: Let there be light. And there was light.
"De cuando me ia es peti, me ama vade a mar con me familia.",Since I was little I have loved going to the sea with my family.
La Revolui Franses ia comensa en mil setesento-otodes-nove.,The French Revolution began in 1789.
"En alga casos, esmeraldas pote es plu valuada ca diamantes.","In some cases, emeralds can be worth more than diamonds."
"Par causa de esperanto, on pote fasil ave multe e bon amis.","Thanks to Esperanto, one can easily have many good friends."
Cuanto anios tu ia ave cuando tu ia comensa studia franses?,How old were you when you started studying French?
El pasa la dia regardante videos de gatetas en la interede.,He spends the day watching kitten videos on the Internet.
A retro de la casa on ave un forno de brices per forni pan.,Behind the house there is a brick oven for baking bread.
Perce cadun pensa ce Tom es la padre de la enfante de Maria?,Why does everyone think Tom is the father of Mary's child?
Astronomistes ia oserva sesdes-du lunas cual orbita Saturno.,Astronomers have observed sixty-two moons orbiting Saturn.
"On atenta manteni la state presente, no fa ce lo es plu bon.","They're trying to preserve the status quo, not to improve."
"Direta cuando la pluve ia sesa, la max de tenis ia continua.","As soon as the rain stopped, the tennis match continued."
Felisia nondisturbada es noiante: lo debe ave altas e basas.,Unbroken happiness is a bore: it should have ups and downs.
La frate de la fia de me ava ta pote es e me tio e me padre.,The brother of my grandmother's daughter could be both my uncle and my father.
Acel stranjer parla japanes como si lo es sua lingua propre.,That foreigner speaks Japanese as if it were his mother tongue.
Pos la media-jua la ecipo local ia lenti la ritmo de la jua.,After half-time the home team slowed the pace of the game.
"Tu ia impresa cadun a la dia ante ier, ma me ia conose ja tu.","The day before yesterday you impressed everyone, but I already knew you."
Tu no pote imajina lo cual mea vive es de cuando tu ia parti.,You can't imagine what my life's been like since you've left.
Me ia pasea asta un xica ci ia es brincacorda sur la paseria.,I walked by a little girl playing jumprope on the sidewalk.
Me no pote vide me mesma reclinada a leto asta la ora des-un.,I can't see myself lying in bed until eleven o'clock.
"Solitar en la site grande, me ia comensa senti anela de casa.","Alone in the big city, I began to get homesick."
"En tenis, me no es un oposor en la mesma nivel en cual tu es.",I am no match for you at tennis.
"En tenis, el no es un oposor en la mesma nivel en cual me es.",He is no match for me in tennis.
"An si me ia es fatigada, me ia fa la plu bon cual me ia pote.","Though I was tired, I did my best."
Raul Seixas es un musiciste multe famosa entre la brasileras.,Raul Seixas is a very famous musician among Brazilians.
Porto Alegre es la capital de la stato la plu sude de Brasil.,Porto Alegre is the southernmost capital city of a Brazilian state.
"Si du persones ave la mesma opina, un de los es suprafluente.","If two people have the same opinion, one of them is redundant."
Elefantes es la animales la plu grande cual vive sur tera oji.,Elephants are the largest land animals alive today.
On ia mata Dan sola a du dias a ante la comensa de la prosede.,Dan was killed just two days before the trial began.
Cual es la visineria misera la plu perilosa en Rio de Janeiro?,What's the most dangerous slum in Rio de Janeiro?
Esta es la disionario la plu bon cual on ave en la biblioteca.,This is the best dictionary there is in the library.
Mea sposo leje la jornal dial en cuando come la come de matina.,My husband reads the newspaper while eating breakfast.
Sesdes-sinco paises ia boicota la juas olimpial de estate 1980.,Sixty-five countries boycotted the 1980 summer Olympics.
Tom ia fa lo cual jeneras de siensistes no ia susede fa a ante.,Tom has done what generations of scientists had not managed to do.
La imperor Akihito de Japan ia anunsia sua intende de renunsia.,The Emperor Akihito of Japan has announced his intention to abdicate.
Bromas de parolas es multe veses nontraduable a en otra lingua.,Puns are often untranslatable into another language.
"La indonesian es longa considerada como la lingua ponte, local.",Indonesian has long been regarded as the local bridge language.
"""Bon"" es la antonim de ""mal"", e ""alta"" es la antonim de ""basa"".","""Good"" is the antonym of ""bad"" and ""tall"" is the antonym of ""short."""
Interlingua es un strumento moderna per comunica internasional.,Interlingua is a modern tool for international communication.
La color azul-verde de Urano es causada par gas de metano fria.,Cold methane gas is responsible for the blue-green color of Uranus.
"""Esce vive pote esiste sin peca?"" la filosofiste vea ia demanda.","""Can life exist without sin?"" asked the old philosopher."
Ta ce nos encontra nos a la stasion a la ora oto a doman matina.,Let's meet at the station at eight tomorrow morning.
Me ia vide Tom ier en un restorante. El ia conversa con un xica.,I saw Tom yesterday in a restaurant. He was talking to a girl.
Lo es un de la libros la plu conoseda en la literatur brasilera.,It's one of the best known books in Brazilian literature.
Animales ia es plu santa ca persones per la americanes orijinal.,Animals were more sacred than people to the Native Americans.
"An un gota peti, constante batente, perfora un monte de granito.",Even small drops striking constantly will bore through a granite mountain.
"Car me no ia sabe cual me debe fa, me ia demanda un consela a el.","Because I didn't know what to do, I asked him for advice."
La naras de fes comensa sempre en la mesma modo: a un ves pasada.,Fairy tales always begin the same: once upon a time.
Esta es lenio brasilera. Un de la spesies la plu bon en la mundo.,This is Brazilian lumber. One of the best kinds in the world.
Nos va atera pos un momento a la Airaporto Internasional de Tocio.,We will be landing at Tokyo International Airport momentarily.
"On ave xicas con penis, xicos con vulva e transfobicas sin dentes.","There are girls with penises, boys with vulvas and transphobes without teeth."
Me ia surprende el a cuando el ia fura peras en la bosce de frutas.,I caught him stealing pears in the orchard.
Cual cosa es un lingua? Lo es un dialeto con un armada e un marina.,What is a language? It's a dialect with an army and a navy.
Cual es la color de la anelo lasta a destra sur la bandera olimpial?,What color is the far right ring on the Olympic flag?
"Pos fa la seso anal con me xico de cor, nos debe usual lava bon nos.","After having anal sex with my boyfriend, we usually need to have a good wash."
"Pos fa la seso anal con me xica de cor, nos debe usual lava bon nos.","After having anal sex with my girlfriend, we usually need to have a good wash."
Perce tota de mundo pensa ce Tom es la padre de la enfante de Maria?,Why does everyone think Tom is the father of Mary's child?
"Cuando du persones ave la mesma opina, un de los es plu ca nesesada.","If two people have the same opinion, one of them is redundant."
"Tom es un de la ""icones"" santa de Tatoeba. Donce, el es nonviolable.","Tom is one of Tatoeba's sacred ""icons"". Therefore, he is untouchable."
"Si on lasa un lampa de pox ensendeda, la pilas de lo va es consumada.",Leaving the flashlight turned on depletes its batteries.
"Si tu ensenia me a dansa, me va mostra a tu mea sicatrises ascondeda.","If you teach me how to dance, I will show you my hidden scars."
"La cosa la plu importante en la Olimpiales no es gania, ma partisipa.",The most important thing in the Olympics is not to win but to participate.
Me ia parla con Tom sola cuando on no ia ave alcun otra con ci parla.,I only talked to Tom when there was no one else to talk to.
En la plu ospitales on garda la arcivos clinical en ordina alfabetal.,The clinical records in most hospitals are kept in alphabetical order.
"Cadun ave la direto a la vive, la libria, e la securia de sua person.","Everyone has the right to life, liberty and the security of person."
"Maria ia fa un paso a retro, e la balon ia comensa asendi pico e pico.","Mary took a step back, and the balloon began to rise little by little."
"Nadal ia gania un max de tenis tro fatigante, cual ia dura sinco sets.",Nadal won a grueling tennis match. It lasted five sets.
La atletas olimpial abita la vileta olimpial en la periodo de la juas.,Olympic athletes live in the Olympic village for the duration of the games.
"Me no pensa ce lo va pluve, ma me va prende un parapluve per la aveni.","I don't think it will rain, but I'll take an umbrella just in case."
Tota la libros nomida la Atesta Nova ia es scriveda pos la mori de el.,All the books called the New Testament were written after his death.
"La Olimpiales selebra seria la vinse de nasionalisme, drogi e comersia.","The Olympic Games ceremoniously celebrate the triumph of nationalism, doping and commerce."
"La mundo es como un libro, e cada paso cual on fa es como jira un paje.","The world is just like a book, and every step you take is like turning a page."
Nos es como papilios cual voleta tra un dia e pensa ce lo es per sempre.,We are like butterflies who flutter for a day and think it's forever.
Suomi ia elimina Rusia de la torneo de hoci en la Olimpiales de Inverno.,Finland eliminated Russia from the Winter Olympics hockey tournament.
"La cosa la plu importante en la juas olimpial no es gania, ma partisipa.",The most important thing in the Olympic Games is not winning but taking part.
On ia proposa la teoria de la Buma Grande en 1927 e ia crese lo en 1929.,The theory of the Big Bang was proposed in 1927 and expanded in 1929.
Lete vera madral de la enfantor ia es tan plu conveninte per la enfante.,Much more appropriate for the child was real breast milk of nursing.
On ave plu ca dudes mil spesies conoseda de plantas comable en la mundo.,There are more than twenty thousand known species of edible plants in the world.
La musica es un de tal cosas cual fa nos senti alga min sola en la mundo.,Music is one of those things that make us feel a little less alone in the world.
"Tom ia es instruida a alta grado, e ia parla fluente alga linguas variosa.",Tom was highly educated and spoke several languages fluently.
"Tom parla franses tra la dia en la scola, e parla engles sola en sua casa.",Tom spends all day speaking French at school and only speaks English at home.
Tom ia leva sua vitro de vino per oserva la bela color roja contra la lus.,Tom raised his glass of wine to watch the beautiful red color against the light.
Bon nom es plu bon ca unjente valuosa: e la dia de mori ca la dia de nase.,A good name is better than precious ointment; and the day of death than the day of one's birth.
Engles ia deveni aora la lingua comun de alga nasiones variosa en la mundo.,English has now become the common language of several nations in the world.
"La oios de Virjinia ia pleni par larmas, e el ia asconde la fas en la manos.","Virginia's eyes grew dim with tears, and she hid her face in her hands."
"La parola ""pansesal"" ia deveni resente un alternativa popular per ""bisesal.""","The term ""pansexual"" has recently become a popular alternative to ""bisexual."""
Me es un alcolomanica. Me es un drogamanica. Me es omosesal. Me es un jenio.,I'm an alcoholic. I'm a drug addict. I'm homosexual. I'm a genius.
